ID,Family,Meaning RU,Scope,Master status,Variants,Sizes,Touch target,Accessible name,Overlays,Motion,License,Owner decision
pi-navigation-chats,navigation,Чаты,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Чаты,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-group-chat,communication,Группа,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Группа,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-thread,communication,Ветка,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Ветка,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-topic,communication,Тема,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Тема,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-reply,communication,Ответить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Ответить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-forward-message,communication,Переслать,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Переслать,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-quote,communication,Цитировать,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Цитировать,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-reaction,communication,Реакция,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Реакция,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-mention,communication,Упоминание,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Упоминание,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-pin,communication,Закрепить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Закрепить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-unpin,communication,Открепить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Открепить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-focus,communication,Фокус,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Фокус,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-mute,communication,Отключить звук,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Отключить звук,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-unmute,communication,Включить звук,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Включить звук,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-unread,communication,Непрочитанное,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Непрочитанное,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-jump-latest,communication,Последнее сообщение,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Последнее сообщение,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-history,communication,История,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,История,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-outbox,communication,Исходящие,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Исходящие,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-sent,communication,Отправлено,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Отправлено,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-delivered,communication,Доставлено,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Доставлено,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-communication-read,communication,Прочитано,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Прочитано,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-add,composer,Добавить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Добавить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-attach,composer,Вложить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Вложить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-send,composer,Отправить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Отправить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-keyboard-hide,composer,Скрыть клавиатуру,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Скрыть клавиатуру,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-command,composer,Команда,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Команда,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-bold,composer,Жирный,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Жирный,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-italic,composer,Курсив,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Курсив,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-underline,composer,Подчёркивание,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Подчёркивание,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-heading,composer,Заголовок,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Заголовок,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-bullets,composer,Список,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Список,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-numbered-list,composer,Нумерованный список,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Нумерованный список,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-table,composer,Таблица,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Таблица,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-code,composer,Код,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Код,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-link,composer,Ссылка,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Ссылка,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-unlink,composer,Убрать ссылку,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Убрать ссылку,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-undo,composer,Отменить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Отменить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-redo,composer,Повторить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Повторить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-clear,composer,Очистить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Очистить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-record,composer,Записать голос,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Записать голос,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-stop-recording,composer,Остановить запись,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Остановить запись,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-composer-reorder,composer,Изменить порядок,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Изменить порядок,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-image,media,Изображение,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Изображение,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-camera,media,Камера,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Камера,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-video,media,Видео,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Видео,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-audio,media,Аудио,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Аудио,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-file,media,Файл,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Файл,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-document,media,Документ,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Документ,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-pdf,media,PDF,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,PDF,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-upload,media,Загрузить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Загрузить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-download,media,Скачать,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Скачать,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-play,media,Воспроизвести,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Воспроизвести,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-pause,media,Пауза,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Пауза,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-stop,media,Стоп,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Стоп,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-volume,media,Громкость,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Громкость,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-volume-off,media,Без звука,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Без звука,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-seek-back,media,Назад по записи,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Назад по записи,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-seek-forward,media,Вперёд по записи,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Вперёд по записи,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-scan,media,Сканировать,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Сканировать,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-zoom-in,media,Приблизить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Приблизить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-zoom-out,media,Отдалить,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Отдалить,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-rotate,media,Повернуть,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Повернуть,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-captions,media,Субтитры,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Субтитры,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-transcript,media,Расшифровка,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Расшифровка,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-trim,media,Обрезать,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Обрезать,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-timeline,media,Монтаж,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Монтаж,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-render,media,Рендер,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Рендер,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-media-output-verified,media,Результат проверен,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Результат проверен,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
pi-objects-canvas,objects,Полотно,D0 semantic requirement,NOT_CREATED,outline; active if stateful; filled only if justified in D2,optical sizes TBD D2; current UI baseline 22px,D2 specification; audit candidate minimum 44x44 CSS px,Полотно,only relevant unread/status; placement TBD D2,static required; morph only same semantic control,original master required; TEMP must retain source/license,PENDING
