ID,Функция,Основание,Релизная категория,Текущий статус,Инженерные блоки,Дизайн-этап,Необходимые поверхности,Компоненты,Дополнительные состояния,Motion,Evidence,Ключевой контракт,Общие состояния,Версия,Owner decision,Visual verification,Font/Icon,Source SHA
F11,AI in Context,A1/A2,A,CONTRACT_ONLY,2/3/5,D3,Context picker; область данных; contextual panel; sources; handoff to agent,C08 C10 C11,S04 S06 S07,M03 M08 M09,A1 §3; A2 §8.1,Контекст и полномочия видимы; mention не открывает весь аккаунт,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F12,AI Inline / in Composer,A1/A2,A,CONTRACT_ONLY,2/3/5,D3,Выделение; исправить/сократить/расширить/перевести/тон/структура; diff; accept/reject,C06 C08 C10,S04 S06 S07,M05 M08,A2 §5.5/§6; composer extension contract,Не заменять оригинал автоматически; защита ревизии,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F13,AI results/errors/approvals,A1/A2,A,CONTRACT_ONLY,2/3/5,D3,Answer/source; editable file; partial output; stop/retry; quota; approval exact action,C10 C11 C15,S03 S06 S07 S08,M08 M09 M13,A1 §4/§7; PablicusUI PrivateAgentResult/ActionConfirmation,Ответ модели и выполненное действие различимы,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F14,AI memory/settings,A1,BASE,NOT_ESTABLISHED,4/5,D3,Список памяти; добавить/изменить/удалить; disable; personal settings; usage,C10 C14,S03 S06,M06 M08,A1 §3/§6/§8,История/контекст/память разные; скрытый профиль не включён,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F15,Canvas / Полотно,P1/A2,BASE,PARTIAL,2/3,D3,Conversation Canvas; project list/card; view/edit; tasks; source links,C08 C09 C06,S03 S04 S07,M02 M03 M04,pablicus/chat-canvas.js; pablicus/workspace-editor.js,Существующий общий проект не полная Work Object модель,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F16,Work Object representations,P1/A2/A3,BASE,CONTRACT_ONLY,2/3,D3,Compact card; expanded panel; fullscreen; exact chat return; deep link,C08 C04 C01,S03 S04 S07,M03 M04 M10,PablicusUI WorkObjectPreview/SidePanel/FullScreenObjectView,Object identity неизменна; independent panel scroll,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F17,Revisions/comments/shared editing,P1/A2,BASE,PARTIAL,3/5,D3,Revision history; diff; comments; agent changes; collaborators; conflicts,C08 C10 C11,S03 S04 S07,M08 M10,pablicus/chat-canvas.js recoverConflict/renderTaskConflict; P1 §3,Есть conflict recovery; полноценный общий revision UI не установлен,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F18,Дела,P1/A2,BASE,SOURCE_BASELINE,2/3,D3,Все/Мне/Просрочено/Готово/Архив; search; detail; source; assignee/date/reminder,C09 C03 C06,S03 S04 S07,M02 M12 M13,pablicus/tasks-home.js; pablicus/chat-canvas.js,Сохранять фильтр/позицию и явно показывать неизвестный результат,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F19,Вы / identity,A2/A3,A,PARTIAL,2/4,D3,Мой профиль; публичный профиль; username/share link; edit; privacy,C14 C03,S03 S08,M01 M06,pablicus/app.js renderHome; pablicus/people.js,Публичное имя отдельно от телефона/приватных контактов,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F20,Stories/followers profile surfaces,A3/owner task,SCOPE_TBD,NOT_ESTABLISHED,4,D4,Followers/following; channel shortcut; stories only after scope decision,C12 C14,S08,M01 M06,A3 §4; app.js unavailable feed text,Не считать заглушку утверждением Stories первого релиза,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F21,Global Search,A2,A,PARTIAL,2/3/4/5,D3,Query; scopes; filters; people/chat/message/channel/Space/file/object/agent/service results; source return,C03 C05 C08 C10 C13,S03 S07 S08,M02 M07,app.js title filter; people.js; chat-library.js; A2 §5.3,Разделить private/global и public discovery; не показывать закрытые данные,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F22,Saved / Personal Inbox,A2,A,PARTIAL,2/3,D3,Saved collection; types; save/remove; personal note; original source; inaccessible source,C03 C07 C08,S03 S04 S07,M02 M07,app.js start_saved_conversation; A2 §5.4,Избранное сейчас personal conversation; определить link vs copy,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F23,Spaces / Communities,A2,A basic; B advanced,CONTRACT_ONLY,2/3/4/5,D4,Directory/switcher; create/join; Space overview; conversations/topics/objects/files/services; members,C01 C03 C12,S03 S07 S08,M01 M02,A2 §5.1; registry IA,Один контейнер с общей областью прав,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F24,Channels / Publications,P1/A2,BASE+A,NOT_ESTABLISHED,3/4,D4,Channel info; posts; subscribe; editor; private preview; publish approval; history,C12 C07 C08,S03 S04 S08,M06 M14,P1 §3/§5; A2 §7; creation-flows.js unloaded,Серверная публикация отдельно от draft и приватного оригинала,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F25,Discovery / subscription feed,P1/A2,A basic; C recommendations,NOT_ESTABLISHED,2/4/5,D4,Public search; directories; editorial picks; subscription feed; follow states,C12 C03 C13,S03 S08,M01 M02,P1 §3; A2 §7.3,Не вводить root Лента; не обещать сложную recommendation engine,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F26,Notifications,A2/A3,BASE,PARTIAL,2/4/5,D4,Permission onboarding; notification centre; unread; preferences; deep link; reminders; run result,C14 C15 C03,S03 S06 S08,M07 M09 M13,pablicus/push-notifications.js; pablicus/inbox-monitor.js,Push baseline не полный центр; не путать с Saved,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F27,Rich messages,P1/A2,A,PARTIAL,3,D4,Text/headings/lists/table/quote/code/media/file/form/task/result/service/carousel blocks,C07 C05,S03 S07,M07 M11,pablicus/rich-message.js; A2 §6,Текущие rich media не доказывают полный MessageDoc v2,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F28,Interactive messages,A2,A,NOT_ESTABLISHED,3/5,D4,Buttons/choices; poll; event; checklist; lightweight form; approvals; result actions,C07 C11 C09,S03 S04 S06 S08,M06 M09 M12,A2 §6,Safe blocks; истёкшее действие/повтор/нет прав; без произвольного runtime доступа,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F29,Scheduled content/reminders,A2,A,PARTIAL,3/4/5,D4,Schedule message/post; queue; edit/cancel; reminders; recurring where applicable,C09 C12 C15,S03 S04 S08,M12 M13 M14,chat-canvas.js scheduleOf/buildSchedule; A2 §7.4,Task reminders не подтверждают scheduled publications; timezone и DST,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F30,Translation / summary,A2,A supported,CONTRACT_ONLY,3/4/5,D4,Translate; original toggle; language; summary; source span; correction,C07 C10,S03 S06 S07,M08,A2 §7.5,"Оригинал, перевод и AI-summary различимы",S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F31,Agent identity/permissions,P1/A2,A,CONTRACT_ONLY,2/4/5,D4,Agent card; install/member; capabilities; allowed context; permission review/revoke,C11 C13 C12,S06 S08,M06 M09 M14,P1 §4; A2 §8; registry,"Личный, разовый и установленный агент имеют разные границы",S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F32,Agent runs/results/failure,P1/A2,A,CONTRACT_ONLY,3/5,D4,Run card; progress/timeline; checkpoint; cancel/retry; approval; result; failure/recovery,C11 C08 C15,S03 S06 S07 S08,M09 M13,PablicusUI AgentTaskCard/PrivateAgentResult; P1 §4,Долговечный ID и реальное завершение; не просто stream текста,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F33,Agent-to-agent delegation,A2,A controlled; B autonomous,NOT_ESTABLISHED,5,D4,Delegation timeline; initiator/executor/reason; context/rights/budget; stop; result attribution,C11 C10,S03 S06 S08,M09,A2 §8.2,Нет автоматического расширения прав и бесконтрольных циклов,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F34,Factory,P1/A2,BASE+A,PARTIAL,2/3/5,D4,Brief/materials; clarifications; specification; build; isolated checks; private service; test result,C13 C06 C11,S03 S04 S06 S08,M09 M14,pablicus/bot-factory.js; P1 §3/§5,Baseline specification/planner; real running instance отдельно,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F35,Bots / scenario editor,P1,BASE,SOURCE_BASELINE,2/5,D4,Bot list/create; details/settings; run/stop; chat; submissions; scenario/version,C13 C07 C06,S03 S04 S06 S08,M02 M06 M14,pablicus/bots.js; pablicus/bot-scenario-editor.js,Сохранить работающие сценарии; engine acceptance не выполнялся в D0,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F36,Возможности / trust,A2,A catalogue/trust; B/C marketplace,NOT_ESTABLISHED,2/4/5,D4,Catalogue/filter; agent/bot/mini app/plugin/skill/integration/workflow detail; publisher/version/trust; install/revoke,C13 C03 C11,S03 S06 S08,M06 M14,A2 §8.3/§8.4,UNVERIFIED/VERIFIED/PABLICUS_REVIEWED — канонический минимум или owner-approved эквивалент,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F37,Mini-app runtime,A2,A limited,CONTRACT_ONLY,2/3/5,D4,Host chrome; launch from chat/result/profile/channel/Space/link; loading/error; permissions; exit/return,C13 C04 C08,S03 S04 S06 S08,M03 M04 M14,A2 §8.5; P1 §7,Изоляция от DOM/сессии host; не считать interface preview runtime,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F38,Community roles,A2,A,NOT_ESTABLISHED,4/5,D4,Members; invite/approve; Owner/Admin/Moderator/Editor/Member/Guest/Agent; edit/revoke,C12 C14,S03 S08,M06 M14,A2 §7.1,Название роли не заменяет реальные server permissions,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F39,Moderation,A2,A; AI guardian B/C,NOT_ESTABLISHED,4/5,D4,Report; block; moderation queue/detail; actions; membership approval; audit log,C12 C15 C11,S03 S06 S08,M06 M14,A2 §7.2,Модератор видит причину/объект/действие; AI не получает неограниченные права,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F40,Settings / privacy / permissions,P1/A1/A2/A3,BASE,PARTIAL,2/4/5,D4,Theme/text/accessibility; notifications; storage; sessions; privacy; permissions; AI memory,C14 C02 C15,S03 S04 S06 S08,M06 M13,app.js profile; push-notifications.js; A1 §6,Нужна единая settings IA и точная область каждого разрешения,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F41,Account / access / recovery,P1/A3,BASE,SOURCE_BASELINE,2/4,D4,Login/provider/passkey; approval pending; expired; restore access; session switch; logout; account unavailable,C14 C02 C15,S03 S04,M01 M06 M13,index.html; access.html; passkey-start.html; app.js authenticate,Сохранность/изоляция draft; не раскрывать данные другого аккаунта,S01 S02 S05 S09,D0 R1,PENDING,LOGIN_ONLY,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F42,Offline / storage / PWA recovery,P1/A3,BASE,PARTIAL,2/3/4,D5,Offline banner; outbox; local-save errors; reconnect; update saved draft; recovery; storage usage,C15 C14 C06,S03 S04 S07,M13,app.js connection/showOutbox; transport-store.js; index updateNotice; P1 §3,Local saved не cloud backup; Service Worker не квалифицирован текущим аудитом,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F43,Content / video pipeline,P1/A1,BASE,NOT_ESTABLISHED,3/5,D4,Original; transcript/timecodes; edit plan; subtitles/composition/audio; preview; render; verified MP4/post; publish,C16 C08 C11 C12,S03 S04 S06 S07 S08,M09 M11 M14,P1 §6; A1 §6,Real reproducible media result; оформление не требует повторной расшифровки,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F44,Deep links / QR,A2,A links; B QR,PARTIAL,2/3/4/5,D4,Object/service/person link; auth resume; unavailable/expired/denied; return; future QR launch,C01 C08 C13 C15,S03 S07 S08,M02 M03 M14,people.js profileLink; A2 §8.6,Profile link не универсальный object deep link,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F45,Calls / media sessions,A2,B,CONTRACT_ONLY,2/3; future engine TBD,D4 readiness,1:1/group audio/video; active session; share; devices/handoff; call links; permission/connection states,C17 C04 C14,S03 S10,M15,registry calls slots; A2 §10,Architectural surfaces only; не обязательный полный call release,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F46,Voice rooms / Stage / Live,A2,B/C,CONTRACT_ONLY,2/3/4/5 readiness,D4 readiness,Speaker/audience/moderator; text companion/reactions; recording reference; transcript→tasks/objects,C17 C12 C08,S03 S06 S10,M15 M09,A2 §7.7,Отдельная будущая квалификация recording/media/moderation,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F47,Business / creator monetization,A2,B; partial A only after decision,NOT_ESTABLISHED,4/5 readiness,D4 readiness,Business profile/hours/location; replies/greeting; agent→human takeover; catalog/bookings; paid channel/tips,C12 C13 C14,S03 S06 S08,M14,A2 §7.6/§8.7,Тарифы и экономическая квалификация не утверждены,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F48,Commerce / supplier comparison,P1/A2,B commerce; B/C suppliers,NOT_ESTABLISHED,5 readiness,D4 readiness,Merchant/Catalog/Product/Offer/Order/Booking/Checkout/Payment/Subscription/Fulfilment/Refund; shortlist,C13 C08 C11,S03 S06 S08,M14,P1 §7; A2 §8.8/§8.9,Товар/продавец/предложение различимы; актуальность и реклама видимы; нет автономной покупки,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
F49,Cross-product empty/loading/error/a11y,A3/owner task,CROSS_CUTTING,PARTIAL,2/3/4/5,D2/D5,Empty/loading/error/retry/offline/expired/conflict; long RU/EN; large text; reduced motion/contrast,C15 C01 C02 C04,S03 S04 S06 S07 S08 S10 applicable,M01–M15 applicable,A3 §11; 2A/2B qualification limits,Все потоки проходят применимую state/responsive матрицу; не WCAG claim,S01 S02 S05 S09,D0 R1,PENDING,NOT_PERFORMED_AUTH_REQUIRED,INTERIM_TO_QUALIFY / ORIGINAL_NOT_CREATED,d791adc19aade1015f4ba34cf4beb5ce2069c93f
